language,article,date,views
en,influenza,2008-02-16,4088
en,influenza,2008-02-17,4001
en,influenza,2008-02-18,5532
en,influenza,2008-02-19,6174
en,influenza,2008-02-20,6241
en,influenza,2008-02-21,6601
en,influenza,2008-02-22,5647
en,influenza,2008-02-23,4224
en,influenza,2008-02-24,4366
en,influenza,2008-02-25,6205
en,influenza,2008-02-26,6232
en,influenza,2008-02-27,5915
en,influenza,2008-02-28,6190
en,influenza,2008-02-29,5010
en,influenza,2008-03-01,3234
en,influenza,2008-03-02,3632
en,influenza,2008-03-03,3263
en,influenza,2008-03-04,2457
en,influenza,2008-03-05,5418
en,influenza,2008-03-06,5177
en,influenza,2008-03-07,4416
en,influenza,2008-03-08,3012
en,influenza,2008-03-09,3486
en,influenza,2008-03-10,5026
en,influenza,2008-03-11,5255
en,influenza,2008-03-12,5243
en,influenza,2008-03-13,5353
en,influenza,2008-03-14,4350
en,influenza,2008-03-15,2824
en,influenza,2008-03-16,3155
en,influenza,2008-03-17,4677
en,influenza,2008-03-18,4353
en,influenza,2008-03-19,4138
en,influenza,2008-03-20,3557
en,influenza,2008-03-21,2590
en,influenza,2008-03-22,2136
en,influenza,2008-03-23,2367
en,influenza,2008-03-24,3568
en,influenza,2008-03-25,3845
en,influenza,2008-03-26,3952
en,influenza,2008-03-27,3792
en,influenza,2008-03-28,3277
en,influenza,2008-03-29,2126
en,influenza,2008-03-30,2653
en,influenza,2008-03-31,3989
en,influenza,2008-04-01,4317
en,influenza,2008-04-03,3645
en,influenza,2008-04-04,3111
en,influenza,2008-04-05,1942
en,influenza,2008-04-06,2491
en,influenza,2008-04-07,3733
en,influenza,2008-04-08,3710
en,influenza,2008-04-09,3621
en,influenza,2008-04-10,3605
en,influenza,2008-04-11,3091
en,influenza,2008-04-12,2000
en,influenza,2008-04-13,2492
en,influenza,2008-04-14,3648
en,influenza,2008-04-15,3597
en,influenza,2008-04-16,3527
en,influenza,2008-04-17,3524
en,influenza,2008-04-18,3073
en,influenza,2008-04-19,1992
en,influenza,2008-04-20,2507
en,influenza,2008-04-21,3851
en,influenza,2008-04-22,3360
en,influenza,2008-04-23,3256
en,influenza,2008-04-24,3100
en,influenza,2008-04-25,2740
en,influenza,2008-04-26,1712
en,influenza,2008-04-27,2181
en,influenza,2008-04-28,3382
en,influenza,2008-04-29,3433
en,influenza,2008-04-30,3025
en,influenza,2008-05-01,3007
en,influenza,2008-05-02,2530
en,influenza,2008-05-03,1706
en,influenza,2008-05-04,2138
en,influenza,2008-05-05,3113
en,influenza,2008-05-06,3202
en,influenza,2008-05-07,3129
en,influenza,2008-05-08,3110
en,influenza,2008-05-09,2643
en,influenza,2008-05-10,1743
en,influenza,2008-05-11,2101
en,influenza,2008-05-12,3159
en,influenza,2008-05-13,3228
en,influenza,2008-05-14,3277
en,influenza,2008-05-15,2986
en,influenza,2008-05-16,2503
en,influenza,2008-05-17,1511
en,influenza,2008-05-18,1967
en,influenza,2008-05-19,2966
en,influenza,2008-05-20,3275
en,influenza,2008-05-21,2980
en,influenza,2008-05-22,2857
en,influenza,2008-05-23,2332
en,influenza,2008-05-24,1470
en,influenza,2008-05-25,1766
en,influenza,2008-05-26,2403
en,influenza,2008-05-27,2670
en,influenza,2008-05-28,2792
en,influenza,2008-05-29,2751
en,influenza,2008-05-30,2209
en,influenza,2008-05-31,1614
en,influenza,2008-06-01,1753
en,influenza,2008-06-02,2672
en,influenza,2008-06-03,2711
en,influenza,2008-06-04,2632
en,influenza,2008-06-05,2395
en,influenza,2008-06-06,1894
en,influenza,2008-06-07,1440
en,influenza,2008-06-08,1703
en,influenza,2008-06-09,2426
en,influenza,2008-06-10,2475
en,influenza,2008-06-11,2345
en,influenza,2008-06-12,2290
en,influenza,2008-06-13,1874
en,influenza,2008-06-14,1396
en,influenza,2008-06-15,1568
en,influenza,2008-06-16,2299
en,influenza,2008-06-17,2500
en,influenza,2008-06-18,2304
en,influenza,2008-06-19,2302
en,influenza,2008-06-20,1941
en,influenza,2008-06-21,1487
en,influenza,2008-06-22,1667
en,influenza,2008-06-23,2248
en,influenza,2008-06-24,2365
en,influenza,2008-06-25,2109
en,influenza,2008-06-26,2105
en,influenza,2008-06-27,1781
en,influenza,2008-06-28,1204
en,influenza,2008-06-29,1447
en,influenza,2008-06-30,2048
en,influenza,2008-07-01,1929
en,influenza,2008-07-02,2219
en,influenza,2008-07-03,2187
en,influenza,2008-07-04,1793
en,influenza,2008-07-05,1250
en,influenza,2008-07-06,1382
en,influenza,2008-07-07,2056
en,influenza,2008-07-08,1982
en,influenza,2008-07-09,1937
en,influenza,2008-07-10,1820
en,influenza,2008-07-11,1524
en,influenza,2008-07-12,1132
en,influenza,2008-07-13,1389
en,influenza,2008-07-14,1941
en,influenza,2008-07-15,1761
en,influenza,2008-07-16,1879
en,influenza,2008-07-17,1825
en,influenza,2008-07-18,1512
en,influenza,2008-07-19,1236
en,influenza,2008-07-20,1409
en,influenza,2008-07-21,1996
en,influenza,2008-07-22,2177
en,influenza,2008-07-23,2038
en,influenza,2008-07-24,2107
en,influenza,2008-07-25,1567
en,influenza,2008-07-26,1218
en,influenza,2008-07-27,1473
en,influenza,2008-07-28,2010
en,influenza,2008-07-29,2024
en,influenza,2008-07-30,1946
en,influenza,2008-07-31,1825
en,influenza,2008-08-01,2027
en,influenza,2008-08-02,1145
en,influenza,2008-08-03,1657
en,influenza,2008-08-04,2024
en,influenza,2008-08-05,2096
en,influenza,2008-08-06,1988
en,influenza,2008-08-07,2121
en,influenza,2008-08-08,1521
en,influenza,2008-08-09,1297
en,influenza,2008-08-10,1453
en,influenza,2008-08-11,1998
en,influenza,2008-08-12,1892
en,influenza,2008-08-13,1906
en,influenza,2008-08-14,1806
en,influenza,2008-08-15,1574
en,influenza,2008-08-16,1184
en,influenza,2008-08-17,1602
en,influenza,2008-08-18,2273
en,influenza,2008-08-19,2202
en,influenza,2008-08-20,2087
en,influenza,2008-08-21,1957
en,influenza,2008-08-22,1788
en,influenza,2008-08-23,1326
en,influenza,2008-08-24,1471
en,influenza,2008-08-25,2130
en,influenza,2008-08-26,2300
en,influenza,2008-08-27,2195
en,influenza,2008-08-28,2361
en,influenza,2008-08-29,1869
en,influenza,2008-08-30,1501
en,influenza,2008-08-31,1627
en,influenza,2008-09-01,2174
en,influenza,2008-09-02,2372
en,influenza,2008-09-03,2537
en,influenza,2008-09-04,2596
en,influenza,2008-09-05,2368
en,influenza,2008-09-06,1842
en,influenza,2008-09-07,2229
en,influenza,2008-09-08,2822
en,influenza,2008-09-09,3195
en,influenza,2008-09-10,2800
en,influenza,2008-09-11,2804
en,influenza,2008-09-12,2503
en,influenza,2008-09-13,1839
en,influenza,2008-09-14,2123
en,influenza,2008-09-15,3130
en,influenza,2008-09-16,3330
en,influenza,2008-09-17,3369
en,influenza,2008-09-18,2982
en,influenza,2008-09-19,2756
en,influenza,2008-09-20,1971
en,influenza,2008-09-21,2392
en,influenza,2008-09-22,3436
en,influenza,2008-09-23,3205
en,influenza,2008-09-24,3757
en,influenza,2008-09-25,3247
en,influenza,2008-09-26,2691
en,influenza,2008-09-27,1879
en,influenza,2008-09-28,2367
en,influenza,2008-09-29,3268
en,influenza,2008-09-30,3237
en,influenza,2008-10-01,3622
en,influenza,2008-10-02,3490
en,influenza,2008-10-03,3105
en,influenza,2008-10-04,2110
en,influenza,2008-10-05,2603
en,influenza,2008-10-06,4003
en,influenza,2008-10-07,3940
en,influenza,2008-10-08,3678
en,influenza,2008-10-09,3560
en,influenza,2008-10-10,2974
en,influenza,2008-10-11,2030
en,influenza,2008-10-12,2568
en,influenza,2008-10-13,3725
en,influenza,2008-10-14,3955
en,influenza,2008-10-15,4168
en,influenza,2008-10-16,4143
en,influenza,2008-10-17,3385
en,influenza,2008-10-18,2382
en,influenza,2008-10-19,3064
en,influenza,2008-10-20,4323
en,influenza,2008-10-23,4394
en,influenza,2008-10-24,3352
en,influenza,2008-10-25,2304
en,influenza,2008-10-26,2769
en,influenza,2008-10-27,4269
en,influenza,2008-10-28,4321
en,influenza,2008-10-29,4418
en,influenza,2008-10-30,4292
en,influenza,2008-10-31,3346
en,influenza,2008-11-01,2324
en,influenza,2008-11-02,2901
en,influenza,2008-11-03,4682
en,influenza,2008-11-04,4555
en,influenza,2008-11-05,4108
en,influenza,2008-11-06,4365
en,influenza,2008-11-07,3533
en,influenza,2008-11-08,2649
en,influenza,2008-11-09,3320
en,influenza,2008-11-10,4685
en,influenza,2008-11-11,4795
en,influenza,2008-11-12,6067
en,influenza,2008-11-13,5199
en,influenza,2008-11-14,3999
en,influenza,2008-11-15,2687
en,influenza,2008-11-16,3286
en,influenza,2008-11-17,4509
en,influenza,2008-11-18,4755
en,influenza,2008-11-19,4528
en,influenza,2008-11-20,5133
en,influenza,2008-11-21,3935
en,influenza,2008-11-22,2690
en,influenza,2008-11-23,3599
en,influenza,2008-11-24,4647
en,influenza,2008-11-25,4375
en,influenza,2008-11-26,4066
en,influenza,2008-11-27,3356
en,influenza,2008-11-28,2948
en,influenza,2008-11-29,2738
en,influenza,2008-11-30,3318
en,influenza,2008-12-01,5805
en,influenza,2008-12-02,5252
en,influenza,2008-12-03,5470
en,influenza,2008-12-04,5019
en,influenza,2008-12-05,4105
en,influenza,2008-12-06,2907
en,influenza,2008-12-07,3432
en,influenza,2008-12-08,4842
en,influenza,2008-12-09,4894
en,influenza,2008-12-10,4731
en,influenza,2008-12-11,4477
en,influenza,2008-12-12,4045
en,influenza,2008-12-13,3798
en,influenza,2008-12-14,3702
en,influenza,2008-12-15,5113
en,influenza,2008-12-16,4771
en,influenza,2008-12-17,4883
en,influenza,2008-12-18,4399
en,influenza,2008-12-19,3498
en,influenza,2008-12-20,2950
en,influenza,2008-12-21,3085
en,influenza,2008-12-22,3950
en,influenza,2008-12-23,4073
en,influenza,2008-12-24,3278
en,influenza,2008-12-25,1971
en,influenza,2008-12-26,2448
en,influenza,2008-12-27,2730
en,influenza,2008-12-28,3050
en,influenza,2008-12-29,3790
en,influenza,2008-12-30,3918
en,influenza,2009-01-01,2346
en,influenza,2009-01-02,3378
en,influenza,2009-01-03,3259
en,influenza,2009-01-04,3467
en,influenza,2009-01-05,4832
en,influenza,2009-01-06,4705
en,influenza,2009-01-07,4882
en,influenza,2009-01-08,4964
en,influenza,2009-01-09,4333
en,influenza,2009-01-10,3126
en,influenza,2009-01-11,3529
en,influenza,2009-01-12,4862
en,influenza,2009-01-13,5602
en,influenza,2009-01-14,6008
en,influenza,2009-01-15,4937
en,influenza,2009-01-16,4235
en,influenza,2009-01-17,2880
en,influenza,2009-01-18,3539
en,influenza,2009-01-19,4939
en,influenza,2009-01-20,4888
en,influenza,2009-01-21,5135
en,influenza,2009-01-22,5233
en,influenza,2009-01-23,4411
en,influenza,2009-01-24,3102
en,influenza,2009-01-25,3696
en,influenza,2009-01-26,4950
en,influenza,2009-01-27,4983
en,influenza,2009-01-28,5277
en,influenza,2009-01-29,5413
en,influenza,2009-01-30,4671
en,influenza,2009-01-31,3508
en,influenza,2009-02-01,4157
en,influenza,2009-02-02,5362
en,influenza,2009-02-03,5837
en,influenza,2009-02-04,5836
en,influenza,2009-02-05,5769
en,influenza,2009-02-06,5030
en,influenza,2009-02-07,3477
en,influenza,2009-02-08,4235
en,influenza,2009-02-09,6068
en,influenza,2009-02-10,6275
en,influenza,2009-02-11,6401
en,influenza,2009-02-12,5776
en,influenza,2009-02-13,4807
en,influenza,2009-02-14,3548
en,influenza,2009-02-15,3708
en,influenza,2009-02-16,4989
en,influenza,2009-02-17,5753
en,influenza,2009-02-18,5955
en,influenza,2009-02-19,5685
en,influenza,2009-02-20,4903
en,influenza,2009-02-21,3666
en,influenza,2009-02-22,4238
en,influenza,2009-02-23,5784
en,influenza,2009-02-24,6923
en,influenza,2009-02-25,5835
en,influenza,2009-02-26,5741
en,influenza,2009-02-27,4938
en,influenza,2009-02-28,3550
en,influenza,2009-03-01,4058
en,influenza,2009-03-02,5892
en,influenza,2009-03-03,5941
en,influenza,2009-03-04,5743
en,influenza,2009-03-05,5629
en,influenza,2009-03-06,4744
en,influenza,2009-03-07,3394
en,influenza,2009-03-08,3732
en,influenza,2009-03-09,5326
en,influenza,2009-03-10,5248
en,influenza,2009-03-11,5387
en,influenza,2009-03-12,5515
en,influenza,2009-03-13,4638
en,influenza,2009-03-14,3087
en,influenza,2009-03-15,3527
en,influenza,2009-03-16,5161
en,influenza,2009-03-17,4970
en,influenza,2009-03-18,5147
en,influenza,2009-03-19,5248
en,influenza,2009-03-20,4318
en,influenza,2009-03-21,2993
en,influenza,2009-03-22,3563
en,influenza,2009-03-23,4983
en,influenza,2009-03-24,5007
en,influenza,2009-03-25,4960
en,influenza,2009-03-26,4578
en,influenza,2009-03-27,3988
en,influenza,2009-03-28,2539
en,influenza,2009-03-29,3254
en,influenza,2009-03-30,4418
en,influenza,2009-03-31,4341
en,influenza,2009-04-01,4133
en,influenza,2009-04-02,4060
en,influenza,2009-04-03,3201
en,influenza,2009-04-04,2261
en,influenza,2009-04-05,2625
en,influenza,2009-04-06,4010
en,influenza,2009-04-07,3939
en,influenza,2009-04-08,3634
en,influenza,2009-04-09,3921
en,influenza,2009-04-10,2418
en,influenza,2009-04-11,2070
en,influenza,2009-04-12,2160
en,influenza,2009-04-13,3393
en,influenza,2009-04-14,3663
en,influenza,2009-04-15,3750
en,influenza,2009-04-16,3510
en,influenza,2009-04-17,3122
en,influenza,2009-04-18,2163
en,influenza,2009-04-19,2654
en,influenza,2009-04-20,3800
en,influenza,2009-04-21,3940
en,influenza,2009-04-22,4043
en,influenza,2009-04-23,4504
en,influenza,2009-04-24,16047
en,influenza,2009-04-25,17187
en,influenza,2009-04-26,30726
en,influenza,2009-04-27,55083
en,influenza,2009-04-28,64293
en,influenza,2009-04-29,61518
en,influenza,2009-04-30,63716
en,influenza,2009-05-01,43246
en,influenza,2009-05-02,23462
en,influenza,2009-05-03,19167
en,influenza,2009-05-04,23535
en,influenza,2009-05-05,18563
en,influenza,2009-05-06,16119
en,influenza,2009-05-07,13827
en,influenza,2009-05-08,10578
en,influenza,2009-05-09,7155
en,influenza,2009-05-10,7386
en,influenza,2009-05-11,13255
en,influenza,2009-05-12,14309
en,influenza,2009-05-13,12021
en,influenza,2009-05-14,10531
en,influenza,2009-05-15,7702
en,influenza,2009-05-16,5572
en,influenza,2009-05-17,6549
en,influenza,2009-05-18,10920
en,influenza,2009-05-19,10795
en,influenza,2009-05-20,9771
en,influenza,2009-05-21,8643
en,influenza,2009-05-22,7061
en,influenza,2009-05-23,4368
en,influenza,2009-05-24,5039
en,influenza,2009-05-25,6732
en,influenza,2009-05-26,7818
en,influenza,2009-05-27,7833
en,influenza,2009-05-28,7238
en,influenza,2009-05-29,5749
en,influenza,2009-05-30,4224
en,influenza,2009-05-31,4267
en,influenza,2009-06-01,6730
en,influenza,2009-06-02,7597
en,influenza,2009-06-03,7035
en,influenza,2009-06-04,6482
en,influenza,2009-06-05,5115
en,influenza,2009-06-06,3500
en,influenza,2009-06-07,4008
en,influenza,2009-06-08,5890
en,influenza,2009-06-09,6509
en,influenza,2009-06-10,6484
en,influenza,2009-06-11,8868
en,influenza,2009-06-12,7706
en,influenza,2009-06-13,4214
en,influenza,2009-06-14,4738
en,influenza,2009-06-15,7313
en,influenza,2009-06-16,6982
en,influenza,2009-06-17,6625
en,influenza,2009-06-18,6126
en,influenza,2009-06-19,4940
en,influenza,2009-06-20,3752
en,influenza,2009-06-21,3937
en,influenza,2009-06-22,5617
en,influenza,2009-06-23,5713
en,influenza,2009-06-24,5399
en,influenza,2009-06-25,5193
en,influenza,2009-06-26,4083
en,influenza,2009-06-27,3114
en,influenza,2009-06-28,3778
en,influenza,2009-06-29,5191
en,influenza,2009-06-30,4919
en,influenza,2009-07-01,4365
en,influenza,2009-07-02,4892
en,influenza,2009-07-03,4405
en,influenza,2009-07-04,3170
en,influenza,2009-07-05,3246
en,influenza,2009-07-06,4967
en,influenza,2009-07-07,4980
en,influenza,2009-07-08,4797
en,influenza,2009-07-09,4853
en,influenza,2009-07-10,4555
en,influenza,2009-07-11,3391
en,influenza,2009-07-12,3422
en,influenza,2009-07-13,5770
en,influenza,2009-07-14,6597
en,influenza,2009-07-15,5507
en,influenza,2009-07-16,6004
en,influenza,2009-07-17,5869
en,influenza,2009-07-18,3763
en,influenza,2009-07-20,6032
en,influenza,2009-07-21,6538
en,influenza,2009-07-22,5961
en,influenza,2009-07-23,6115
en,influenza,2009-07-24,5379
en,influenza,2009-07-25,3509
en,influenza,2009-07-26,3814
en,influenza,2009-07-27,20990
en,influenza,2009-07-28,5064
en,influenza,2009-07-29,5408
en,influenza,2009-07-30,5154
en,influenza,2009-07-31,4284
en,influenza,2009-08-01,3234
en,influenza,2009-08-02,3165
en,influenza,2009-08-03,4635
en,influenza,2009-08-04,5009
en,influenza,2009-08-05,5407
en,influenza,2009-08-06,5171
en,influenza,2009-08-07,4419
en,influenza,2009-08-08,3463
en,influenza,2009-08-09,3681
en,influenza,2009-08-10,6830
en,influenza,2009-08-11,6874
en,influenza,2009-08-12,7284
en,influenza,2009-08-13,11063
en,influenza,2009-08-14,4675
en,influenza,2009-08-15,3113
en,influenza,2009-08-16,3762
en,influenza,2009-08-17,5485
en,influenza,2009-08-18,5380
en,influenza,2009-08-19,4821
en,influenza,2009-08-20,4656
en,influenza,2009-08-21,4312
en,influenza,2009-08-22,3063
en,influenza,2009-08-23,3180
en,influenza,2009-08-24,5026
en,influenza,2009-08-25,7909
en,influenza,2009-08-26,6612
en,influenza,2009-08-27,5877
en,influenza,2009-08-28,4792
en,influenza,2009-08-29,3588
en,influenza,2009-08-30,4172
en,influenza,2009-08-31,5672
en,influenza,2009-09-01,6520
en,influenza,2009-09-02,7050
en,influenza,2009-09-03,6416
en,influenza,2009-09-04,5427
en,influenza,2009-09-05,3957
en,influenza,2009-09-06,4228
en,influenza,2009-09-07,5977
en,influenza,2009-09-08,7031
en,influenza,2009-09-09,7300
en,influenza,2009-09-10,6741
en,influenza,2009-09-11,5871
en,influenza,2009-09-12,4021
en,influenza,2009-09-13,4695
en,influenza,2009-09-14,6505
en,influenza,2009-09-15,7165
en,influenza,2009-09-16,6917
en,influenza,2009-09-17,6870
en,influenza,2009-09-18,6072
en,influenza,2009-09-19,4024
en,influenza,2009-09-20,4665
en,influenza,2009-10-01,7279
en,influenza,2009-10-02,6025
en,influenza,2009-10-03,4117
en,influenza,2009-10-04,5117
en,influenza,2009-10-05,7122
en,influenza,2009-10-06,7694
en,influenza,2009-10-07,8100
en,influenza,2009-10-08,8113
en,influenza,2009-10-09,6971
en,influenza,2009-10-10,5134
en,influenza,2009-10-11,5191
en,influenza,2009-10-12,7354
en,influenza,2009-10-13,8369
en,influenza,2009-10-17,5450
en,influenza,2009-10-18,5492
en,influenza,2009-10-19,8282
en,influenza,2009-10-20,9376
en,influenza,2009-10-21,9671
en,influenza,2009-10-22,9318
en,influenza,2009-10-23,8509
en,influenza,2009-10-24,7580
en,influenza,2009-10-25,7827
en,influenza,2009-10-26,10177
en,influenza,2009-10-27,11357
en,influenza,2009-10-28,12185
en,influenza,2009-10-29,10735
en,influenza,2009-10-30,11613
en,influenza,2009-10-31,6547
en,influenza,2009-11-01,5847
en,influenza,2009-11-02,9137
en,influenza,2009-11-03,10835
en,influenza,2009-11-04,10849
en,influenza,2009-11-05,10940
en,influenza,2009-11-06,9145
en,influenza,2009-11-07,6144
en,influenza,2009-11-08,6642
en,influenza,2009-11-09,9297
en,influenza,2009-11-10,9496
en,influenza,2009-11-11,8588
en,influenza,2009-11-12,10014
en,influenza,2009-11-13,8395
en,influenza,2009-11-14,5106
en,influenza,2009-11-15,5531
en,influenza,2009-11-16,7872
en,influenza,2009-11-17,6463
en,influenza,2009-11-18,6872
en,influenza,2009-11-19,6302
en,influenza,2009-11-20,5759
en,influenza,2009-11-21,4116
en,influenza,2009-11-23,5620
en,influenza,2009-11-24,5693
en,influenza,2009-11-25,5346
en,influenza,2009-11-26,4612
en,influenza,2009-11-27,4184
en,influenza,2009-11-28,3710
en,influenza,2009-11-29,3916
en,influenza,2009-11-30,5478
en,influenza,2009-12-01,5380
en,influenza,2009-12-02,5185
en,influenza,2009-12-03,5127
en,influenza,2009-12-04,4982
en,influenza,2009-12-05,3201
en,influenza,2009-12-06,3468
en,influenza,2009-12-07,4777
en,influenza,2009-12-08,4840
en,influenza,2009-12-09,4459
en,influenza,2009-12-10,4551
en,influenza,2009-12-11,4223
en,influenza,2009-12-12,3136
en,influenza,2009-12-13,3099
en,influenza,2009-12-14,3800
en,influenza,2009-12-15,3806
en,influenza,2009-12-16,4049
en,influenza,2009-12-17,3854
en,influenza,2009-12-18,3228
en,influenza,2009-12-19,2303
en,influenza,2009-12-20,2389
en,influenza,2009-12-21,2993
en,influenza,2009-12-22,2939
en,influenza,2009-12-23,2649
en,influenza,2009-12-24,1748
en,influenza,2009-12-25,1605
en,influenza,2009-12-26,1790
en,influenza,2009-12-27,2051
en,influenza,2009-12-28,2606
en,influenza,2009-12-29,2600
en,influenza,2009-12-30,2653
en,influenza,2009-12-31,2289
en,influenza,2010-01-01,1807
en,influenza,2010-01-02,10505
en,influenza,2010-01-03,2317
en,influenza,2010-01-05,2969
en,influenza,2010-01-06,3525
en,influenza,2010-01-07,3766
en,influenza,2010-01-08,3243
en,influenza,2010-01-09,2617
en,influenza,2010-01-10,2547
en,influenza,2010-01-11,3659
en,influenza,2010-01-12,3821
en,influenza,2010-01-13,3792
en,influenza,2010-01-14,4029
en,influenza,2010-01-15,3564
en,influenza,2010-01-16,2500
en,influenza,2010-01-17,2638
en,influenza,2010-01-18,3457
en,influenza,2010-01-19,4305
en,influenza,2010-01-20,3705
en,influenza,2010-01-21,3842
en,influenza,2010-01-22,3339
en,influenza,2010-01-25,3474
en,influenza,2010-01-26,3697
en,influenza,2010-01-27,3786
en,influenza,2010-01-28,3737
en,influenza,2010-01-29,3183
en,influenza,2010-01-30,2348
en,influenza,2010-01-31,2502
en,influenza,2010-02-01,3413
en,influenza,2010-02-02,3664
en,influenza,2010-02-03,3648
en,influenza,2010-02-04,3843
en,influenza,2010-02-05,3369
en,influenza,2010-02-06,2469
en,influenza,2010-02-07,2665
en,influenza,2010-02-09,3818
en,influenza,2010-02-10,3745
en,influenza,2010-02-11,3561
en,influenza,2010-02-12,3039
en,influenza,2010-02-13,2029
en,influenza,2010-02-14,2288
en,influenza,2010-02-15,2724
en,influenza,2010-02-16,3201
en,influenza,2010-02-17,3421
en,influenza,2010-02-18,3488
en,influenza,2010-02-19,2916
en,influenza,2010-02-20,2451
en,influenza,2010-02-21,2765
en,influenza,2010-02-22,3590
en,influenza,2010-02-23,3834
en,influenza,2010-02-24,3222
en,influenza,2010-02-25,3038
en,influenza,2010-02-27,2161
en,influenza,2010-02-28,2601
en,influenza,2010-03-01,3310
en,influenza,2010-03-02,3612
en,influenza,2010-03-03,3657
en,influenza,2010-03-04,3865
en,influenza,2010-03-05,3223
en,influenza,2010-03-06,2367
en,influenza,2010-03-07,2662
en,influenza,2010-03-08,3553
en,influenza,2010-03-09,3547
en,influenza,2010-03-10,3436
en,influenza,2010-03-11,3583
en,influenza,2010-03-12,3278
en,influenza,2010-03-13,2249
en,influenza,2010-03-15,3510
en,influenza,2010-03-16,3657
en,influenza,2010-03-17,3526
en,influenza,2010-03-18,3510
en,influenza,2010-03-19,2897
en,influenza,2010-03-20,2294
en,influenza,2010-03-21,2338
en,influenza,2010-03-22,3292
en,influenza,2010-03-23,3345
en,influenza,2010-03-24,3509
en,influenza,2010-03-25,3164
en,influenza,2010-03-26,2780
en,influenza,2010-03-27,2054
en,influenza,2010-03-28,2187
en,influenza,2010-03-29,3215
en,influenza,2010-03-30,3039
en,influenza,2010-03-31,2924
en,influenza,2010-04-01,2719
en,influenza,2010-04-02,2139
en,influenza,2010-04-03,1821
en,influenza,2010-04-04,1924
en,influenza,2010-04-05,2682
en,influenza,2010-04-06,2752
en,influenza,2010-04-07,2937
en,influenza,2010-04-08,3055
en,influenza,2010-04-09,2772
en,influenza,2010-04-10,2124
en,influenza,2010-04-11,2199
en,influenza,2010-04-12,3066
en,influenza,2010-04-13,3000
en,influenza,2010-04-14,3392
en,influenza,2010-04-15,3115
en,influenza,2010-04-16,3111
en,influenza,2010-04-17,2244
en,influenza,2010-04-18,2380
en,influenza,2010-04-19,3455
en,influenza,2010-04-20,3543
en,influenza,2010-04-21,3429
en,influenza,2010-04-22,3045
en,influenza,2010-04-23,3034
en,influenza,2010-04-24,2059
en,influenza,2010-04-25,2267
en,influenza,2010-04-26,3277
en,influenza,2010-04-27,3401
en,influenza,2010-04-28,3318
en,influenza,2010-04-29,3310
en,influenza,2010-04-30,2872
en,influenza,2010-05-01,2141
en,influenza,2010-05-02,2334
en,influenza,2010-05-03,3312
en,influenza,2010-05-04,3336
en,influenza,2010-05-05,3291
en,influenza,2010-05-06,3269
en,influenza,2010-05-07,2952
en,influenza,2010-05-08,2078
en,influenza,2010-05-09,2137
en,influenza,2010-05-10,3094
en,influenza,2010-05-11,3271
en,influenza,2010-05-12,3015
en,influenza,2010-05-13,2571
en,influenza,2010-05-14,2497
en,influenza,2010-05-15,1939
en,influenza,2010-05-16,2291
en,influenza,2010-05-17,3029
en,influenza,2010-05-18,2680
en,influenza,2010-05-19,2374
en,influenza,2010-05-20,2838
en,influenza,2010-05-21,2692
en,influenza,2010-05-22,1825
en,influenza,2010-05-23,1936
en,influenza,2010-05-24,2729
en,influenza,2010-05-25,2801
en,influenza,2010-05-26,2889
en,influenza,2010-05-27,2606
